Order,Video,Coder,Sentiment,Activation,Anger,Disgust,Fear,Surprise,Sadness,Happiness
0,2017 10 30 0,P-O R. B.,4,6,1,0,0,0,0,0
1,2017 10 05 5,P-O R. B.,3,7,0,0,1,0,1,0
2,2017 06 01 9,P-O R. B.,8,3,1,0,0,0,0,0
3,2017 02 24 1,P-O R. B.,4,9,0,0,1,0,0,0
4,2016 11 29 8,P-O R. B.,4,5,1,0,0,0,0,0
5,2016 12 02 6,P-O R. B.,9,7,0,0,0,0,0,1
6,2016 10 03 5,P-O R. B.,5,3,0,1,0,0,0,0
7,2016 05 20 5,P-O R. B.,5,3,0,0,0,0,0,0
8,2016 01 28 1,P-O R. B.,3,7,0,1,0,0,0,0
10,2015 03 27 2,P-O R. B.,3,6,0,0,0,0,0,0
11,2015 02 05 0,P-O R. B.,3,6,1,0,0,0,1,0
12,2017 10 17 1,MS,6,6,0,0,0,0,0,0
13,2017 11 23 8,MS,5,6,0,0,1,0,0,0
14,2017 04 07 4,MS,7,4,0,0,0,0,0,0
15,2017 05 10 2,MS,7,2,1,1,0,0,0,0
16,2016 10 26 9,MS,8,6,0,0,0,0,0,1
17,2016 11 16 7,MS,4,7,1,0,0,0,0,0
18,2016 09 23 0,MS,7,3,1,0,0,0,0,0
19,2016 04 22 8,MS,7,3,1,0,0,0,1,0
20,2015 06 04 8,MS,3,8,1,1,0,0,0,0
21,2016 02 23 9,MS,5,6,0,0,0,0,0,0
22,2015 05 12 0,MS,3,6,0,1,0,0,0,0
23,2015 02 05 0,MS,6,6,0,0,1,0,0,0
24,2017 11 23 4,P-O R. B.,5,7,1,0,0,0,0,0
25,2017 10 25 2,P-O R. B.,3,6,0,1,0,0,0,0
26,2017 05 02 7,P-O R. B.,6,6,1,0,0,0,0,0
27,2017 05 18 5,P-O R. B.,5,7,0,0,0,0,0,0
28,2016 10 26 7,P-O R. B.,4,5,0,0,0,0,0,0
29,2017 02 10 0,P-O R. B.,7,4,0,0,0,0,0,0
30,2016 06 07 5,P-O R. B.,4,3,0,0,0,0,0,0
31,2016 06 02 5,P-O R. B.,6,5,0,0,0,0,0,0
32,2016 02 02 2,P-O R. B.,2,5,0,1,0,0,0,0
33,2015 06 04 7,P-O R. B.,3,6,1,0,0,0,0,0
34,2015 03 12 2,P-O R. B.,3,6,1,0,0,1,0,0
35,2015 05 12 6,P-O R. B.,5,6,0,0,1,0,0,0
36,2017 10 05 8,P-O R. B.,5,5,0,0,0,0,0,0
37,2017 12 05 2,P-O R. B.,4,6,1,0,0,0,0,0
38,2017 06 20 5,P-O R. B.,6,4,1,0,0,0,0,0
39,2017 03 08 1,P-O R. B.,6,3,1,0,0,0,0,0
40,2017 02 21 6,P-O R. B.,6,5,0,0,0,0,0,0
41,2016 12 02 7,P-O R. B.,3,5,0,0,0,0,0,0
42,2016 06 10 6,P-O R. B.,4,3,0,0,0,1,0,0
43,2016 10 03 6,P-O R. B.,6,5,1,0,0,0,0,0
44,2016 02 23 5,P-O R. B.,4,7,1,0,1,0,0,0
45,2015 06 09 3,P-O R. B.,2,7,1,1,0,0,0,0
46,2015 05 12 2,P-O R. B.,6,3,0,0,1,0,0,0
47,2015 02 25 7,P-O R. B.,6,4,0,0,1,0,0,0
48,2017 11 07 0,P-O R. B.,4,7,1,1,0,0,0,0
49,2017 10 30 3,P-O R. B.,4,5,1,0,0,0,0,0
50,2017 06 06 1,P-O R. B.,7,3,1,0,0,0,0,0
51,2017 06 06 3,P-O R. B.,2,5,0,0,0,0,0,0
52,2016 10 31 4,P-O R. B.,4,6,0,1,0,0,0,0
53,2016 11 24 5,P-O R. B.,2,9,1,0,0,1,1,0
54,2016 04 22 7,P-O R. B.,4,4,0,0,0,0,0,0
55,2016 05 20 8,P-O R. B.,4,4,0,0,0,0,0,0
56,2016 02 02 6,P-O R. B.,5,4,0,0,1,0,0,0
57,2015 06 17 0,P-O R. B.,4,6,0,0,0,0,0,0
58,2015 01 28 9,P-O R. B.,5,3,0,1,0,0,0,0
59,2015 04 24 3,P-O R. B.,3,5,0,1,0,0,0,0
60,2017 10 30 8,P-O R. B.,3,5,0,0,0,0,0,0
61,2017 11 28 6,P-O R. B.,3,6,1,0,0,0,0,0
62,2017 06 01 4,P-O R. B.,6,3,1,0,0,0,0,0
63,2017 02 24 7,P-O R. B.,5,8,0,0,0,0,0,1
64,2016 12 07 0,P-O R. B.,4,6,0,1,0,0,0,0
65,2016 11 16 2,P-O R. B.,5,5,0,0,0,0,0,0
66,2016 05 09 7,P-O R. B.,6,4,1,0,0,0,0,0
67,2016 04 19 0,P-O R. B.,6,4,0,1,0,0,0,0
68,2016 04 11 4,P-O R. B.,3,6,1,0,0,0,0,0
69,2016 04 11 0,P-O R. B.,3,7,0,1,0,0,0,0
70,2015 04 21 0,P-O R. B.,3,5,0,0,0,0,0,0
71,2015 02 05 2,P-O R. B.,3,6,1,0,0,1,0,0
72,2017 11 23 7,P-O R. B.,6,6,0,0,1,0,0,1
73,2017 09 22 6,P-O R. B.,6,6,0,0,0,0,0,0
74,2017 05 15 5,P-O R. B.,7,4,1,0,0,0,0,0
75,2017 05 15 4,P-O R. B.,4,6,0,0,0,0,0,0
76,2017 02 10 1,P-O R. B.,1,9,1,1,0,1,0,0
77,2016 10 31 3,P-O R. B.,6,6,0,0,0,0,0,0
78,2016 10 06 1,P-O R. B.,4,4,0,0,0,0,0,0
79,2016 10 03 5,P-O R. B.,6,3,1,1,0,0,0,0
80,2015 12 09 9,P-O R. B.,4,4,0,0,0,0,0,0
