Video,t1Act1,t1Act2,t1ActAvg,t1Sent1,t1Sent2,t1SentAvg,t2Act1,t2Act2,t2ActAvg,t2Sent1,t2Sent2,t2SentAvg,t3Act1,t3Act2,t3ActAvg,t3Sent1,t3Sent2,t3SentAvg
2017 12 13 0,7,6,6.5,2,3,2.5,7.0,7,7.0,1.0,2,1.5,7.0,7.0,7.0,3.0,3.0,3.0
2017 12 13 1,6,6,6.0,4,4,4.0,5.0,5,5.0,7.0,5,6.0,6.0,6.0,6.0,4.0,4.0,4.0
2017 12 13 2,6,7,6.5,7,8,7.5,9.0,5,7.0,6.0,7,6.5,5.0,5.0,5.0,5.0,6.0,5.5
2017 12 13 3,7,8,7.5,0,0,0.0,7.0,7,7.0,1.0,1,1.0,6.0,7.0,6.5,2.0,3.0,2.5
2017 12 13 4,6,7,6.5,7,4,5.5,6.0,6,6.0,8.0,3,5.5,6.0,5.0,5.5,6.0,6.0,6.0
2017 12 13 5,6,6,6.0,7,7,7.0,5.0,5,5.0,7.0,7,7.0,6.0,6.0,6.0,7.0,7.0,7.0
2017 12 13 6,5,6,5.5,10,8,9.0,5.0,5,5.0,9.0,8,8.5,5.0,5.0,5.0,6.0,6.0,6.0
2017 12 13 7,7,7,7.0,3,3,3.0,8.0,6,7.0,1.0,3,2.0,8.0,8.0,8.0,3.0,3.0,3.0
2017 12 13 8,6,6,6.0,4,4,4.0,6.0,5,5.5,5.0,5,5.0,6.0,6.0,6.0,3.0,4.0,3.5
2017 12 13 9,6,6,6.0,0,0,0.0,5.0,6,5.5,2.0,3,2.5,6.0,7.0,6.5,2.0,2.0,2.0
2017 12 08 0,6,7,6.5,4,6,5.0,5.0,5,5.0,5.0,5,5.0,3.0,4.0,3.5,6.0,5.0,5.5
2017 12 08 1,6,7,6.5,3,3,3.0,6.0,5,5.5,2.0,3,2.5,7.0,6.0,6.5,3.0,3.0,3.0
2017 12 08 2,6,6,6.0,4,4,4.0,7.0,5,6.0,3.0,5,4.0,6.0,5.0,5.5,4.0,4.0,4.0
2017 12 08 3,6,6,6.0,0,1,0.5,7.0,6,6.5,2.0,3,2.5,7.0,7.0,7.0,3.0,3.0,3.0
2017 12 08 4,6,6,6.0,3,3,3.0,7.0,6,6.5,3.0,4,3.5,5.0,6.0,5.5,4.0,3.0,3.5
2017 12 08 5,6,7,6.5,10,9,9.5,6.0,5,5.5,8.0,7,7.5,5.0,6.0,5.5,7.0,6.0,6.5
