,v1Act1,v1Act2,v1ActAvg,v1Sent1,v1Sent2,v1SentAvg,v2Act1,v2Act2,v2ActAvg,v2Sent1,v2Sent2,v2SentAvg,v3Act1,v3Act2,v3ActAvg,v3Sent1,v3Sent2,v3SentAvg,Video
2015 01 28 0,5.0,,5.0,4.0,,4.0,,,,,,,,,,,,,2015 01 28 0
2015 01 28 1,6.0,6.0,6.0,3.0,4.0,3.5,5.0,5.0,5.0,5.0,4.0,4.5,,,,,,,2015 01 28 1
2015 01 28 2,8.0,,8.0,3.0,,3.0,,,,,,,6.0,5.0,5.5,5.0,5.0,5.0,2015 01 28 2
2015 01 28 3,4.0,3.0,3.5,3.0,1.0,2.0,5.0,5.0,5.0,2.0,2.0,2.0,,,,,,,2015 01 28 3
2015 01 28 4,,,,,,,,,,,,,6.0,5.0,5.5,4.0,5.0,4.5,2015 01 28 4
2015 01 28 5,7.0,,7.0,2.0,,2.0,8.0,,8.0,3.0,,3.0,7.0,,7.0,3.0,,3.0,2015 01 28 5
2015 01 28 6,3.0,6.0,4.5,7.0,6.0,6.5,5.0,,5.0,6.0,,6.0,6.0,,6.0,5.0,,5.0,2015 01 28 6
2015 01 28 7,5.0,,5.0,4.0,,4.0,5.0,,5.0,5.0,,5.0,,,,,,,2015 01 28 7
2015 01 28 8,4.0,5.0,4.5,3.0,3.0,3.0,,,,,,,,,,,,,2015 01 28 8
2015 01 28 9,3.0,5.0,4.0,5.0,4.0,4.5,5.0,,5.0,6.0,,6.0,3.0,,3.0,5.0,,5.0,2015 01 28 9
2015 02 05 0,6.0,,6.0,3.0,,3.0,6.0,6.0,6.0,6.0,4.0,5.0,,,,,,,2015 02 05 0
2015 02 05 1,5.0,,5.0,5.0,,5.0,5.0,,5.0,3.0,,3.0,,,,,,,2015 02 05 1
2015 02 05 2,6.0,6.0,6.0,3.0,2.0,2.5,7.0,,7.0,1.0,,1.0,,,,,,,2015 02 05 2
2015 02 05 3,,,,,,,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,2015 02 05 3
2015 02 05 4,6.0,,6.0,3.0,,3.0,6.0,,6.0,4.0,,4.0,6.0,,6.0,4.0,,4.0,2015 02 05 4
2015 02 05 5,6.0,6.0,6.0,4.0,3.0,3.5,7.0,7.0,7.0,3.0,3.0,3.0,,,,,,,2015 02 05 5
2015 02 05 6,,,,,,,5.0,6.0,5.5,5.0,4.0,4.5,6.0,,6.0,6.0,,6.0,2015 02 05 6
2015 02 05 7,6.0,5.0,5.5,4.0,3.0,3.5,,,,,,,,,,,,,2015 02 05 7
2015 02 05 8,4.0,5.0,4.5,3.0,4.0,3.5,6.0,5.0,5.5,7.0,7.0,7.0,,,,,,,2015 02 05 8
2015 02 05 9,,,,,,,6.0,6.0,6.0,4.0,3.0,3.5,6.0,,6.0,5.0,,5.0,2015 02 05 9
2015 02 17 0,4.0,4.0,4.0,5.0,4.0,4.5,5.0,,5.0,5.0,,5.0,,,,,,,2015 02 17 0
2015 02 17 1,4.0,5.0,4.5,6.0,7.0,6.5,5.0,5.0,5.0,8.0,7.0,7.5,4.0,,4.0,5.0,,5.0,2015 02 17 1
2015 02 17 2,6.0,,6.0,3.0,,3.0,6.0,7.0,6.5,4.0,3.0,3.5,5.0,,5.0,4.0,,4.0,2015 02 17 2
2015 02 17 3,3.0,4.0,3.5,4.0,5.0,4.5,,,,,,,,,,,,,2015 02 17 3
2015 02 17 4,5.0,,5.0,3.0,,3.0,6.0,6.0,6.0,2.0,2.0,2.0,5.0,,5.0,4.0,,4.0,2015 02 17 4
2015 02 17 5,5.0,,5.0,5.0,,5.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,2015 02 17 5
2015 02 17 6,7.0,7.0,7.0,1.0,3.0,2.0,,,,,,,,,,,,,2015 02 17 6
2015 02 17 7,6.0,,6.0,3.0,,3.0,6.0,,6.0,3.0,,3.0,5.0,,5.0,4.0,,4.0,2015 02 17 7
2015 02 17 8,6.0,6.0,6.0,4.0,4.0,4.0,,,,,,,,,,,,,2015 02 17 8
2015 02 17 9,,,,,,,5.0,,5.0,7.0,,7.0,,,,,,,2015 02 17 9
2015 02 20 0,7.0,7.0,7.0,2.0,3.0,2.5,6.0,,6.0,2.0,,2.0,8.0,,8.0,2.0,,2.0,2015 02 20 0
2015 02 20 1,,,,,,,7.0,,7.0,3.0,,3.0,,,,,,,2015 02 20 1
2015 02 20 2,5.0,6.0,5.5,2.0,3.0,2.5,6.0,,6.0,4.0,,4.0,,,,,,,2015 02 20 2
2015 02 20 3,8.0,,8.0,2.0,,2.0,6.0,,6.0,3.0,,3.0,,,,,,,2015 02 20 3
2015 02 20 4,7.0,7.0,7.0,2.0,3.0,2.5,,,,,,,,,,,,,2015 02 20 4
2015 02 20 5,6.0,,6.0,4.0,,4.0,6.0,,6.0,2.0,,2.0,,,,,,,2015 02 20 5
2015 02 20 6,6.0,7.0,6.5,3.0,3.0,3.0,6.0,,6.0,3.0,,3.0,,,,,,,2015 02 20 6
2015 02 20 7,6.0,5.0,5.5,4.0,5.0,4.5,5.0,,5.0,7.0,,7.0,5.0,,5.0,6.0,,6.0,2015 02 20 7
2015 02 20 8,5.0,,5.0,4.0,,4.0,5.0,,5.0,6.0,,6.0,5.0,5.0,5.0,5.0,5.0,5.0,2015 02 20 8
2015 02 20 9,6.0,,6.0,4.0,,4.0,,,,,,,5.0,,5.0,5.0,,5.0,2015 02 20 9
2015 02 25 0,6.0,6.0,6.0,4.0,5.0,4.5,6.0,5.0,5.5,6.0,5.0,5.5,,,,,,,2015 02 25 0
2015 02 25 1,6.0,6.0,6.0,4.0,4.0,4.0,,,,,,,7.0,,7.0,4.0,,4.0,2015 02 25 1
2015 02 25 2,,,,,,,6.0,6.0,6.0,2.0,2.0,2.0,,,,,,,2015 02 25 2
